receiver_account,receiver_name,bank_name,country,risk_rating,fraud_link_count,sanction_match_flag,created_at
ACC-3434344914,Sarah Johnson,Vertex Bank,Germany,HIGH,6,FALSE,2024-01-01 00:00:00
ACC-1148914900,Susan Anderson,Core Bank,Germany,HIGH,8,FALSE,2024-01-01 00:00:00
ACC-4657653299,Susan Taylor,Horizon Bank,UAE,HIGH,8,FALSE,2024-01-01 00:00:00
ACC-8548506932,Charles Jones,Core Bank,UAE,HIGH,15,FALSE,2024-01-01 00:00:00
ACC-3145970376,Karen Moore,Vertex Bank,India,HIGH,6,FALSE,2024-01-01 00:00:00
ACC-1151721519,David Davis,Core Bank,United States,HIGH,7,TRUE,2024-01-01 00:00:00
ACC-9293902465,John Lopez,Apex Bank,France,HIGH,5,FALSE,2024-01-01 00:00:00
ACC-5672635311,John Lopez,Vertex Bank,Canada,HIGH,3,FALSE,2024-01-01 00:00:00
ACC-7177832956,Elizabeth Taylor,Vertex Bank,Brazil,HIGH,5,FALSE,2024-01-01 00:00:00
ACC-9993006945,Elizabeth Moore,Apex Bank,United Kingdom,HIGH,8,FALSE,2024-01-01 00:00:00
ACC-4894952449,Linda Garcia,Vertex Bank,Australia,HIGH,10,FALSE,2024-01-01 00:00:00
ACC-4230097340,Mary Hernandez,Vertex Bank,Singapore,HIGH,7,FALSE,2024-01-01 00:00:00
ACC-5117313946,Barbara Lopez,Horizon Bank,United Kingdom,HIGH,7,FALSE,2024-01-01 00:00:00
ACC-6191672367,Thomas Brown,Vertex Bank,UAE,HIGH,7,FALSE,2024-01-01 00:00:00
ACC-7074045829,Robert Brown,Apex Bank,France,HIGH,7,FALSE,2024-01-01 00:00:00
ACC-7957318444,Jennifer Thomas,Horizon Bank,Australia,HIGH,8,FALSE,2024-01-01 00:00:00
ACC-9419105292,Susan Hernandez,Vertex Bank,United Kingdom,HIGH,6,FALSE,2024-01-01 00:00:00
ACC-7093031241,Michael Smith,Horizon Bank,United Kingdom,HIGH,4,FALSE,2024-01-01 00:00:00
ACC-4385175242,John Moore,Apex Bank,Australia,HIGH,4,FALSE,2024-01-01 00:00:00
ACC-3779714031,Richard Johnson,Apex Bank,UAE,HIGH,10,FALSE,2024-01-01 00:00:00
ACC-2155795585,David Wilson,Horizon Bank,Germany,HIGH,4,FALSE,2024-01-01 00:00:00
ACC-4458341895,Patricia Hernandez,Apex Bank,Singapore,HIGH,4,FALSE,2024-01-01 00:00:00
ACC-6631223606,Susan Wilson,Apex Bank,Singapore,HIGH,3,FALSE,2024-01-01 00:00:00
ACC-1045215655,Karen Thomas,Core Bank,United Kingdom,HIGH,6,FALSE,2024-01-01 00:00:00
ACC-3877793791,Joseph Miller,Apex Bank,United Kingdom,HIGH,6,FALSE,2024-01-01 00:00:00
ACC-9630600222,Linda Thomas,Core Bank,United States,HIGH,7,FALSE,2024-01-01 00:00:00
ACC-6702456118,David Williams,Apex Bank,Brazil,HIGH,6,FALSE,2024-01-01 00:00:00
ACC-5267130539,David Moore,Apex Bank,Germany,HIGH,4,FALSE,2024-01-01 00:00:00
ACC-8139166188,Barbara Davis,Core Bank,Canada,HIGH,7,FALSE,2024-01-01 00:00:00
ACC-3788207377,Barbara Jones,Core Bank,Australia,HIGH,9,FALSE,2024-01-01 00:00:00
ACC-7716702134,William Davis,Vertex Bank,Australia,HIGH,8,FALSE,2024-01-01 00:00:00
ACC-7093976416,William Lopez,Core Bank,India,LOW,1,FALSE,2024-01-01 00:00:00
ACC-3019774221,Barbara Thomas,Vertex Bank,Germany,LOW,2,FALSE,2024-01-01 00:00:00
ACC-1402002202,Sarah Garcia,Horizon Bank,Germany,LOW,0,FALSE,2024-01-01 00:00:00
ACC-1470775159,Jennifer Lopez,Core Bank,Australia,LOW,1,FALSE,2024-01-01 00:00:00
ACC-2895172265,Thomas Anderson,Core Bank,Australia,MEDIUM,0,FALSE,2024-01-01 00:00:00
ACC-9086466458,Charles Anderson,Core Bank,France,MEDIUM,2,FALSE,2024-01-01 00:00:00
ACC-8438021586,William Lopez,Vertex Bank,United Kingdom,LOW,2,FALSE,2024-01-01 00:00:00
ACC-9222597633,William Jackson,Vertex Bank,Australia,LOW,1,FALSE,2024-01-01 00:00:00
ACC-2401037777,Jessica Taylor,Core Bank,Brazil,LOW,2,FALSE,2024-01-01 00:00:00
ACC-2939586328,Linda Rodriguez,Core Bank,United States,LOW,2,FALSE,2024-01-01 00:00:00
ACC-8177284029,Sarah Brown,Apex Bank,Brazil,MEDIUM,2,FALSE,2024-01-01 00:00:00
ACC-1111109221,William Lopez,Horizon Bank,Australia,LOW,2,FALSE,2024-01-01 00:00:00
ACC-6748614559,Richard Davis,Vertex Bank,United States,LOW,1,FALSE,2024-01-01 00:00:00
ACC-9978349007,Elizabeth Thomas,Vertex Bank,UAE,LOW,2,FALSE,2024-01-01 00:00:00
ACC-9590780949,Joseph Davis,Core Bank,Brazil,LOW,2,FALSE,2024-01-01 00:00:00
ACC-7461099398,Thomas Davis,Apex Bank,Australia,LOW,1,FALSE,2024-01-01 00:00:00
ACC-4266604240,Richard Thomas,Apex Bank,United Kingdom,MEDIUM,1,TRUE,2024-01-01 00:00:00
ACC-4111476243,Joseph Moore,Vertex Bank,United States,MEDIUM,1,FALSE,2024-01-01 00:00:00
ACC-1141279734,William Brown,Horizon Bank,United Kingdom,LOW,4,FALSE,2024-01-01 00:00:00
ACC-6012570753,Robert Williams,Horizon Bank,Brazil,MEDIUM,2,FALSE,2024-01-01 00:00:00
ACC-7074798305,Linda Garcia,Core Bank,Germany,MEDIUM,1,FALSE,2024-01-01 00:00:00
ACC-4568497441,Mary Hernandez,Core Bank,Germany,LOW,2,TRUE,2024-01-01 00:00:00
ACC-4309701633,Michael Rodriguez,Horizon Bank,Singapore,LOW,1,FALSE,2024-01-01 00:00:00
ACC-6446287150,Barbara Lopez,Horizon Bank,UAE,MEDIUM,1,FALSE,2024-01-01 00:00:00
ACC-3290517503,Jennifer Martin,Vertex Bank,United Kingdom,LOW,2,FALSE,2024-01-01 00:00:00
ACC-4096316995,Michael Garcia,Vertex Bank,United States,LOW,2,FALSE,2024-01-01 00:00:00
ACC-6011848156,Barbara Brown,Vertex Bank,Brazil,MEDIUM,1,FALSE,2024-01-01 00:00:00
ACC-8038847288,John Davis,Vertex Bank,United Kingdom,MEDIUM,3,FALSE,2024-01-01 00:00:00
ACC-6338920045,Michael Jackson,Apex Bank,Australia,LOW,2,FALSE,2024-01-01 00:00:00
ACC-5067168074,Jennifer Gonzalez,Apex Bank,Brazil,LOW,1,FALSE,2024-01-01 00:00:00
ACC-5668742268,Charles Miller,Horizon Bank,UAE,LOW,2,FALSE,2024-01-01 00:00:00
ACC-2575959666,Jessica Jackson,Core Bank,UAE,MEDIUM,1,TRUE,2024-01-01 00:00:00
ACC-1811112141,Susan Davis,Core Bank,Canada,MEDIUM,2,FALSE,2024-01-01 00:00:00
ACC-8250429507,Susan Brown,Horizon Bank,Canada,MEDIUM,2,FALSE,2024-01-01 00:00:00
ACC-4021476561,Linda Martin,Vertex Bank,United Kingdom,MEDIUM,0,FALSE,2024-01-01 00:00:00
ACC-6984308868,Jennifer Lopez,Horizon Bank,UAE,LOW,3,FALSE,2024-01-01 00:00:00
ACC-5186531483,Barbara Rodriguez,Core Bank,Brazil,LOW,2,FALSE,2024-01-01 00:00:00
ACC-3465211700,John Garcia,Apex Bank,Australia,MEDIUM,3,FALSE,2024-01-01 00:00:00
ACC-9456804532,Robert Moore,Core Bank,United States,MEDIUM,2,FALSE,2024-01-01 00:00:00
ACC-2673695671,Karen Rodriguez,Core Bank,United Kingdom,LOW,1,FALSE,2024-01-01 00:00:00
ACC-3715417621,William Williams,Vertex Bank,France,MEDIUM,1,FALSE,2024-01-01 00:00:00
ACC-5558240690,Elizabeth Gonzalez,Horizon Bank,Brazil,LOW,2,FALSE,2024-01-01 00:00:00
ACC-8028742629,David Jackson,Apex Bank,France,MEDIUM,1,FALSE,2024-01-01 00:00:00
ACC-2728616719,Sarah Garcia,Apex Bank,UAE,LOW,1,FALSE,2024-01-01 00:00:00
ACC-2436988846,Robert Hernandez,Vertex Bank,France,LOW,0,FALSE,2024-01-01 00:00:00
ACC-7403003763,Linda Williams,Core Bank,United Kingdom,LOW,0,FALSE,2024-01-01 00:00:00
ACC-4121118185,Richard Smith,Horizon Bank,United States,MEDIUM,0,FALSE,2024-01-01 00:00:00
ACC-3487597156,Richard Davis,Core Bank,Canada,LOW,1,FALSE,2024-01-01 00:00:00
ACC-5270644274,Linda Garcia,Vertex Bank,Australia,LOW,0,FALSE,2024-01-01 00:00:00
ACC-7947329979,Charles Davis,Core Bank,India,LOW,5,FALSE,2024-01-01 00:00:00
ACC-4771090750,Robert Taylor,Horizon Bank,Canada,LOW,2,FALSE,2024-01-01 00:00:00
ACC-7561316943,Mary Garcia,Vertex Bank,France,MEDIUM,1,FALSE,2024-01-01 00:00:00
ACC-3264682441,Thomas Anderson,Vertex Bank,United Kingdom,LOW,1,FALSE,2024-01-01 00:00:00
ACC-7313507295,Patricia Anderson,Apex Bank,Brazil,LOW,2,FALSE,2024-01-01 00:00:00
ACC-4553605522,Thomas Miller,Horizon Bank,Canada,LOW,1,FALSE,2024-01-01 00:00:00
ACC-1452381845,Sarah Hernandez,Vertex Bank,Canada,LOW,1,FALSE,2024-01-01 00:00:00
ACC-1421406116,William Brown,Vertex Bank,Germany,MEDIUM,3,FALSE,2024-01-01 00:00:00
ACC-6803238704,Joseph Rodriguez,Core Bank,India,LOW,2,FALSE,2024-01-01 00:00:00
ACC-8827881448,Patricia Rodriguez,Core Bank,Singapore,LOW,0,FALSE,2024-01-01 00:00:00
ACC-6979630068,Elizabeth Smith,Vertex Bank,Germany,LOW,0,FALSE,2024-01-01 00:00:00
ACC-6323110989,Mary Taylor,Horizon Bank,India,MEDIUM,2,FALSE,2024-01-01 00:00:00
ACC-3357709583,Michael Moore,Apex Bank,Brazil,LOW,2,FALSE,2024-01-01 00:00:00
ACC-5764967778,Sarah Miller,Core Bank,Germany,MEDIUM,1,FALSE,2024-01-01 00:00:00
ACC-1927932776,John Wilson,Vertex Bank,India,LOW,3,FALSE,2024-01-01 00:00:00
ACC-1182368109,Elizabeth Lopez,Vertex Bank,France,LOW,2,FALSE,2024-01-01 00:00:00
ACC-4991169411,James Thomas,Core Bank,France,LOW,2,FALSE,2024-01-01 00:00:00
ACC-9744406140,Richard Martin,Apex Bank,UAE,LOW,0,FALSE,2024-01-01 00:00:00
ACC-3165315856,William Thomas,Horizon Bank,Brazil,LOW,3,FALSE,2024-01-01 00:00:00
ACC-4232434224,Mary Smith,Vertex Bank,UAE,LOW,0,FALSE,2024-01-01 00:00:00
ACC-5865027085,Susan Hernandez,Apex Bank,India,MEDIUM,1,FALSE,2024-01-01 00:00:00
ACC-9877971147,Barbara Wilson,Horizon Bank,Canada,LOW,2,FALSE,2024-01-01 00:00:00
ACC-6795780603,Jessica Miller,Horizon Bank,Australia,LOW,2,FALSE,2024-01-01 00:00:00
ACC-1742793246,Charles Johnson,Apex Bank,United Kingdom,MEDIUM,1,FALSE,2024-01-01 00:00:00
ACC-5633915455,Thomas Garcia,Vertex Bank,United Kingdom,LOW,5,FALSE,2024-01-01 00:00:00
ACC-7215947340,David Lopez,Vertex Bank,UAE,LOW,0,FALSE,2024-01-01 00:00:00
ACC-1205569091,Jennifer Lopez,Horizon Bank,Germany,LOW,1,FALSE,2024-01-01 00:00:00
ACC-4198550339,Linda Rodriguez,Core Bank,Germany,LOW,2,FALSE,2024-01-01 00:00:00
ACC-7385513140,Sarah Lopez,Core Bank,United States,LOW,3,FALSE,2024-01-01 00:00:00
ACC-6542931256,Susan Smith,Horizon Bank,India,LOW,2,FALSE,2024-01-01 00:00:00
ACC-8363461921,Karen Anderson,Horizon Bank,Canada,LOW,2,FALSE,2024-01-01 00:00:00
ACC-5177073529,Charles Johnson,Apex Bank,Brazil,MEDIUM,0,FALSE,2024-01-01 00:00:00
ACC-5277642916,Patricia Garcia,Vertex Bank,Australia,MEDIUM,3,FALSE,2024-01-01 00:00:00
ACC-9006307171,Richard Hernandez,Apex Bank,Brazil,LOW,1,FALSE,2024-01-01 00:00:00
ACC-5798801307,Jennifer Brown,Horizon Bank,Brazil,LOW,0,FALSE,2024-01-01 00:00:00
ACC-1115384126,Susan Wilson,Vertex Bank,United States,LOW,2,FALSE,2024-01-01 00:00:00
ACC-7561218376,Thomas Hernandez,Apex Bank,India,MEDIUM,3,FALSE,2024-01-01 00:00:00
ACC-3643782361,Jessica Taylor,Core Bank,Australia,LOW,2,FALSE,2024-01-01 00:00:00
ACC-8532135208,Richard Miller,Apex Bank,Australia,MEDIUM,1,FALSE,2024-01-01 00:00:00
ACC-4998006763,Thomas Thomas,Apex Bank,France,MEDIUM,3,FALSE,2024-01-01 00:00:00
ACC-8444061488,Jessica Gonzalez,Vertex Bank,France,MEDIUM,2,FALSE,2024-01-01 00:00:00
ACC-6031842649,Barbara Johnson,Vertex Bank,India,MEDIUM,1,FALSE,2024-01-01 00:00:00
ACC-6667137569,David Smith,Horizon Bank,Singapore,MEDIUM,1,FALSE,2024-01-01 00:00:00
ACC-4997117360,Robert Wilson,Apex Bank,Germany,LOW,1,TRUE,2024-01-01 00:00:00
ACC-7338781222,William Davis,Horizon Bank,Australia,MEDIUM,1,FALSE,2024-01-01 00:00:00
ACC-6088074438,Elizabeth Brown,Apex Bank,Canada,MEDIUM,1,FALSE,2024-01-01 00:00:00
ACC-7793334606,Thomas Moore,Horizon Bank,India,LOW,1,FALSE,2024-01-01 00:00:00
ACC-6596849816,Susan Williams,Core Bank,Brazil,MEDIUM,1,FALSE,2024-01-01 00:00:00
ACC-6553668725,Thomas Martinez,Horizon Bank,Brazil,LOW,1,FALSE,2024-01-01 00:00:00
ACC-1637134435,Jessica Wilson,Vertex Bank,Singapore,LOW,2,FALSE,2024-01-01 00:00:00
ACC-5064924032,Karen Gonzalez,Vertex Bank,UAE,LOW,5,FALSE,2024-01-01 00:00:00
ACC-7889482798,Karen Martin,Apex Bank,Canada,MEDIUM,1,FALSE,2024-01-01 00:00:00
ACC-6717622954,James Brown,Horizon Bank,India,MEDIUM,1,FALSE,2024-01-01 00:00:00
ACC-7575601775,Sarah Thomas,Core Bank,UAE,LOW,3,FALSE,2024-01-01 00:00:00
ACC-3169686670,Susan Jones,Core Bank,India,LOW,1,FALSE,2024-01-01 00:00:00
ACC-5321748783,Elizabeth Hernandez,Core Bank,United States,LOW,3,FALSE,2024-01-01 00:00:00
ACC-1280788543,Patricia Anderson,Horizon Bank,France,LOW,1,FALSE,2024-01-01 00:00:00
ACC-8423291598,Charles Jackson,Apex Bank,United States,LOW,2,FALSE,2024-01-01 00:00:00
ACC-1118654832,Sarah Thomas,Apex Bank,Canada,MEDIUM,3,FALSE,2024-01-01 00:00:00
ACC-8060576727,Charles Taylor,Apex Bank,Australia,MEDIUM,0,FALSE,2024-01-01 00:00:00
ACC-7536163117,Robert Garcia,Vertex Bank,Brazil,LOW,0,FALSE,2024-01-01 00:00:00
ACC-9722488510,Barbara Anderson,Vertex Bank,Australia,LOW,2,FALSE,2024-01-01 00:00:00
ACC-3977244704,James Jackson,Core Bank,Brazil,MEDIUM,1,FALSE,2024-01-01 00:00:00
ACC-8636535130,Patricia Williams,Horizon Bank,United States,LOW,0,FALSE,2024-01-01 00:00:00
ACC-2080436307,Mary Martinez,Apex Bank,Australia,LOW,5,FALSE,2024-01-01 00:00:00
ACC-4140788739,Elizabeth Anderson,Core Bank,United Kingdom,MEDIUM,2,FALSE,2024-01-01 00:00:00
ACC-4943766918,John Smith,Core Bank,Germany,MEDIUM,0,FALSE,2024-01-01 00:00:00
ACC-4999366360,Karen Davis,Apex Bank,France,LOW,5,FALSE,2024-01-01 00:00:00
ACC-1092139445,Barbara Garcia,Vertex Bank,United States,LOW,3,FALSE,2024-01-01 00:00:00
ACC-6611691644,Susan Smith,Horizon Bank,Brazil,LOW,0,FALSE,2024-01-01 00:00:00
ACC-3682593660,Sarah Jackson,Horizon Bank,United Kingdom,LOW,3,FALSE,2024-01-01 00:00:00
ACC-1293342642,Thomas Miller,Vertex Bank,Canada,MEDIUM,1,FALSE,2024-01-01 00:00:00
ACC-3338547051,James Jones,Vertex Bank,India,LOW,1,FALSE,2024-01-01 00:00:00
ACC-8076193036,Joseph Johnson,Vertex Bank,UAE,LOW,1,FALSE,2024-01-01 00:00:00
ACC-4432377747,Thomas Garcia,Horizon Bank,United Kingdom,LOW,2,FALSE,2024-01-01 00:00:00
ACC-5749137482,David Hernandez,Core Bank,United States,LOW,2,FALSE,2024-01-01 00:00:00
ACC-3814627571,Sarah Williams,Vertex Bank,Singapore,LOW,3,FALSE,2024-01-01 00:00:00
ACC-7012093845,William Brown,Apex Bank,UAE,MEDIUM,2,FALSE,2024-01-01 00:00:00
ACC-7945761025,Michael Moore,Apex Bank,Brazil,LOW,1,TRUE,2024-01-01 00:00:00
ACC-5668279498,Elizabeth Garcia,Vertex Bank,UAE,MEDIUM,2,FALSE,2024-01-01 00:00:00
ACC-8090756063,Karen Jones,Horizon Bank,United States,MEDIUM,1,FALSE,2024-01-01 00:00:00
ACC-8672145399,William Rodriguez,Vertex Bank,Germany,MEDIUM,2,FALSE,2024-01-01 00:00:00
ACC-4621511474,Joseph Jackson,Core Bank,France,LOW,5,FALSE,2024-01-01 00:00:00
ACC-1694738357,Mary Garcia,Core Bank,Canada,LOW,4,FALSE,2024-01-01 00:00:00
ACC-7034049664,Elizabeth Moore,Horizon Bank,France,LOW,3,FALSE,2024-01-01 00:00:00
ACC-1815416600,Susan Hernandez,Vertex Bank,Singapore,LOW,4,FALSE,2024-01-01 00:00:00
ACC-1813503149,Jennifer Anderson,Horizon Bank,Brazil,LOW,1,FALSE,2024-01-01 00:00:00
ACC-9034193053,Karen Smith,Horizon Bank,United Kingdom,LOW,5,FALSE,2024-01-01 00:00:00
ACC-4349487589,Patricia Taylor,Apex Bank,United States,LOW,3,FALSE,2024-01-01 00:00:00
ACC-2664921146,Jennifer Jackson,Core Bank,Australia,LOW,4,FALSE,2024-01-01 00:00:00
ACC-6079160606,Susan Moore,Core Bank,India,MEDIUM,1,FALSE,2024-01-01 00:00:00
ACC-8800301009,Linda Brown,Horizon Bank,Singapore,LOW,1,FALSE,2024-01-01 00:00:00
ACC-3999448293,Joseph Wilson,Horizon Bank,Canada,LOW,1,FALSE,2024-01-01 00:00:00
ACC-9543598183,Patricia Moore,Horizon Bank,France,LOW,1,FALSE,2024-01-01 00:00:00
ACC-5617532556,Karen Brown,Apex Bank,Brazil,LOW,0,FALSE,2024-01-01 00:00:00
ACC-4549567008,Charles Gonzalez,Apex Bank,UAE,LOW,0,FALSE,2024-01-01 00:00:00
ACC-1188474078,Barbara Davis,Vertex Bank,Brazil,LOW,0,FALSE,2024-01-01 00:00:00
ACC-9464667751,Thomas Williams,Horizon Bank,France,LOW,1,FALSE,2024-01-01 00:00:00
ACC-1353003534,Barbara Gonzalez,Vertex Bank,Australia,MEDIUM,4,FALSE,2024-01-01 00:00:00
ACC-9309465677,David Lopez,Horizon Bank,Brazil,LOW,4,FALSE,2024-01-01 00:00:00
ACC-1135658528,Karen Smith,Horizon Bank,Brazil,LOW,3,FALSE,2024-01-01 00:00:00
ACC-2129357018,Charles Jackson,Apex Bank,India,LOW,2,FALSE,2024-01-01 00:00:00
ACC-9905886087,Karen Martinez,Apex Bank,UAE,MEDIUM,1,FALSE,2024-01-01 00:00:00
ACC-2015914111,Jennifer Thomas,Horizon Bank,Australia,LOW,5,FALSE,2024-01-01 00:00:00
ACC-7230875886,Linda Hernandez,Horizon Bank,France,LOW,0,FALSE,2024-01-01 00:00:00
ACC-2749182871,Elizabeth Smith,Vertex Bank,Australia,MEDIUM,0,FALSE,2024-01-01 00:00:00
ACC-7003251640,Mary Taylor,Apex Bank,United Kingdom,MEDIUM,1,FALSE,2024-01-01 00:00:00
ACC-5728544273,Thomas Lopez,Horizon Bank,UAE,LOW,2,FALSE,2024-01-01 00:00:00
ACC-7504884406,David Jones,Vertex Bank,Singapore,LOW,4,FALSE,2024-01-01 00:00:00
ACC-2265741649,Susan Miller,Core Bank,United Kingdom,LOW,0,FALSE,2024-01-01 00:00:00
ACC-1815460347,John Davis,Apex Bank,Singapore,LOW,1,FALSE,2024-01-01 00:00:00
ACC-9821224672,Susan Jackson,Vertex Bank,Singapore,LOW,6,FALSE,2024-01-01 00:00:00
ACC-8009452975,Susan Rodriguez,Vertex Bank,Singapore,MEDIUM,2,FALSE,2024-01-01 00:00:00
ACC-8965447255,James Davis,Apex Bank,India,LOW,3,FALSE,2024-01-01 00:00:00
ACC-2051627104,Richard Brown,Apex Bank,Brazil,LOW,1,FALSE,2024-01-01 00:00:00
ACC-4357654598,Jessica Johnson,Horizon Bank,Australia,MEDIUM,3,FALSE,2024-01-01 00:00:00
ACC-3718122408,Charles Jackson,Core Bank,India,LOW,2,FALSE,2024-01-01 00:00:00
ACC-2152315830,Susan Gonzalez,Vertex Bank,Germany,LOW,0,FALSE,2024-01-01 00:00:00
ACC-2240995839,Susan Brown,Horizon Bank,Singapore,MEDIUM,0,FALSE,2024-01-01 00:00:00
ACC-5606593470,Thomas Jones,Core Bank,United Kingdom,MEDIUM,0,FALSE,2024-01-01 00:00:00
ACC-5886304718,Patricia Gonzalez,Core Bank,Canada,LOW,5,FALSE,2024-01-01 00:00:00
ACC-4965876200,John Thomas,Apex Bank,United Kingdom,LOW,2,FALSE,2024-01-01 00:00:00
ACC-5242806429,Mary Brown,Vertex Bank,UAE,LOW,4,FALSE,2024-01-01 00:00:00
ACC-2652074351,Jessica Miller,Horizon Bank,Germany,LOW,2,FALSE,2024-01-01 00:00:00
ACC-4788633588,Barbara Moore,Vertex Bank,Singapore,LOW,1,FALSE,2024-01-01 00:00:00
ACC-4665142909,David Thomas,Horizon Bank,United States,MEDIUM,1,FALSE,2024-01-01 00:00:00
ACC-6220211703,Joseph Moore,Apex Bank,United States,LOW,0,FALSE,2024-01-01 00:00:00
ACC-7632916780,Patricia Brown,Vertex Bank,United Kingdom,LOW,3,FALSE,2024-01-01 00:00:00
ACC-8538735274,Richard Brown,Apex Bank,United Kingdom,MEDIUM,1,FALSE,2024-01-01 00:00:00
ACC-9641122309,Mary Rodriguez,Apex Bank,United States,LOW,2,FALSE,2024-01-01 00:00:00
ACC-1663393941,Linda Lopez,Horizon Bank,United States,LOW,3,FALSE,2024-01-01 00:00:00
ACC-1340616440,Michael Martinez,Horizon Bank,Brazil,LOW,2,TRUE,2024-01-01 00:00:00
ACC-6373306672,Linda Brown,Apex Bank,Australia,LOW,1,FALSE,2024-01-01 00:00:00
ACC-5236881490,Richard Jackson,Vertex Bank,United States,LOW,1,FALSE,2024-01-01 00:00:00
ACC-7963845735,James Martin,Core Bank,United Kingdom,MEDIUM,0,FALSE,2024-01-01 00:00:00
ACC-2373673802,James Martinez,Core Bank,Germany,MEDIUM,3,FALSE,2024-01-01 00:00:00
ACC-1500833266,William Johnson,Core Bank,Canada,LOW,0,FALSE,2024-01-01 00:00:00
ACC-6507614459,Richard Hernandez,Horizon Bank,India,LOW,0,FALSE,2024-01-01 00:00:00
ACC-5504613722,Linda Hernandez,Vertex Bank,Germany,LOW,1,FALSE,2024-01-01 00:00:00
ACC-6149377670,Richard Johnson,Horizon Bank,Australia,LOW,4,FALSE,2024-01-01 00:00:00
ACC-1222588216,Charles Williams,Apex Bank,Australia,MEDIUM,1,FALSE,2024-01-01 00:00:00
ACC-6246957516,Mary Johnson,Horizon Bank,Canada,LOW,1,FALSE,2024-01-01 00:00:00
ACC-6694787424,Michael Jones,Core Bank,Singapore,MEDIUM,2,FALSE,2024-01-01 00:00:00
ACC-6678943948,Barbara Anderson,Horizon Bank,Canada,LOW,1,FALSE,2024-01-01 00:00:00
ACC-1301256951,Michael Gonzalez,Apex Bank,France,LOW,0,FALSE,2024-01-01 00:00:00
ACC-2547908913,Michael Brown,Vertex Bank,Brazil,MEDIUM,2,FALSE,2024-01-01 00:00:00
ACC-3331249196,David Jackson,Core Bank,Australia,MEDIUM,0,FALSE,2024-01-01 00:00:00
ACC-3497202083,Sarah Martin,Core Bank,Germany,MEDIUM,1,FALSE,2024-01-01 00:00:00
ACC-5824237726,David Taylor,Core Bank,Brazil,LOW,0,FALSE,2024-01-01 00:00:00
ACC-8523515189,Susan Smith,Vertex Bank,Canada,LOW,1,FALSE,2024-01-01 00:00:00
ACC-6090361441,Joseph Wilson,Horizon Bank,Singapore,LOW,1,FALSE,2024-01-01 00:00:00
ACC-3574427964,Karen Taylor,Apex Bank,United States,MEDIUM,1,FALSE,2024-01-01 00:00:00
ACC-6495915250,Karen Jones,Vertex Bank,India,LOW,2,FALSE,2024-01-01 00:00:00
ACC-4697000145,Susan Taylor,Horizon Bank,Australia,MEDIUM,1,FALSE,2024-01-01 00:00:00
ACC-9205477391,Sarah Moore,Core Bank,Canada,LOW,2,FALSE,2024-01-01 00:00:00
ACC-9146431888,John Wilson,Core Bank,Singapore,MEDIUM,3,FALSE,2024-01-01 00:00:00
ACC-6855506996,Michael Moore,Core Bank,Canada,MEDIUM,2,FALSE,2024-01-01 00:00:00
ACC-4628860859,Karen Rodriguez,Vertex Bank,Brazil,MEDIUM,4,TRUE,2024-01-01 00:00:00
ACC-2728670825,Jessica Wilson,Apex Bank,United States,MEDIUM,3,FALSE,2024-01-01 00:00:00
ACC-5705776115,Robert Wilson,Vertex Bank,France,LOW,2,FALSE,2024-01-01 00:00:00
ACC-3260896605,John Thomas,Core Bank,Brazil,MEDIUM,1,FALSE,2024-01-01 00:00:00
