receiver_account,receiver_name,country,risk_rating
B000066,Hema Ahluwalia,USA,Low
B000067,Caleb Dalal,UK,Medium
B000068,Darpan Garde,UK,Medium
B000069,Zehaan Chokshi,USA,High
B000070,Lila Patil,India,Medium
B000071,Ekansh Chokshi,India,Medium
B000072,Lakshmi Chandra,USA,Medium
B000073,Gauri Chakrabarti,USA,Low
B000074,Vrishti Prashad,India,Low
B000075,Gabriel Toor,India,High
B000076,Harish Tank,India,High
B000077,Triya Gill,UAE,High
B000078,Gavin Bansal,UAE,High
B000079,Faraj Dora,USA,Medium
B000080,Amruta Jani,Singapore,Medium
B000081,Keya Khosla,UK,High
B000082,Unni Tank,USA,Medium
B000083,Radhika Prasad,UAE,Low
B000084,Yoshita Kapadia,UAE,Low
B000085,Unni Doshi,India,Low
B000086,Leena Roy,Singapore,High
B000087,Upkaar Raghavan,UK,High
B000088,Sathvik Chakraborty,Singapore,Medium
B000089,Chakradhar Sem,USA,High
B000090,Niharika Shukla,UAE,Low
B000091,Lucky Kalla,UK,Medium
B000092,Isha Bawa,USA,Medium
B000093,Reyansh Bahl,Singapore,Medium
B000094,Anika Arora,India,High
B000095,Maanav Dass,USA,High
B000096,Sarthak Wable,UAE,Low
B000097,Bhanumati Mangal,UAE,High
B000098,Ubika Dhawan,USA,Low
B000099,Shravya Dara,UK,Medium
B000100,Panini Mistry,UAE,Low
B000101,Joshua Panchal,UAE,Low
B000102,Harinakshi Wadhwa,Singapore,Low
B000103,Ria Ramaswamy,UK,High
B000104,Rohan Purohit,UK,High
B000105,Janaki Tiwari,Singapore,High
B000106,Indali Murthy,USA,Medium
B000107,Madhav Pau,USA,Medium
B000108,Chaitanya Mital,UK,Medium
B000109,Krishna Andra,UAE,Low
B000110,Andrew Chad,UK,Low
B000111,Vihaan Dani,UK,Low
B000112,Arya Sami,India,High
B000113,Amrita Sastry,UAE,High
B000114,Henry Anne,UAE,Medium
B000115,Hritik Suresh,USA,Low
B000116,Ekavir Pau,UAE,Medium
B000117,Ayush Behl,Singapore,High
B000118,Damyanti Sarkar,UK,Low
B000119,Oliver Sura,UK,Low
B000120,Ladli Pingle,India,Medium
B000121,Bhanumati Sibal,India,Low
B000122,Devansh Loyal,Singapore,Low
B000123,Xiti Prasad,USA,Low
B000124,Mitesh Wason,UAE,Medium
B000125,Xavier Pingle,UK,Low
B000126,Agastya Varkey,USA,Medium
B000127,Kevin Bhattacharyya,India,Low
B000128,Yashodhara Raman,UAE,Low
B000129,Kashvi Vyas,Singapore,Low
B000130,Chaman Bajwa,UAE,Medium
B000131,Kashish Bava,UAE,Medium
B000132,Widisha Gour,USA,Low
B000133,Lila Keer,UAE,Low
B000134,Tamanna Bali,India,Low
B000135,Chavvi Kalla,Singapore,Low
B000136,Udyati Zacharia,India,High
B000137,Maya Basak,UAE,Medium
B000138,Wakeeta Amble,India,Medium
B000139,Ekiya Parikh,UAE,Medium
B000140,Azad Prakash,UK,Low
B000141,Hardik Mitter,Singapore,Medium
B000142,Vrishti Soman,UAE,High
B000143,Omkaar Sodhi,USA,Medium
B000144,Yachana Sundaram,India,Low
B000145,Ethan Kaur,UAE,Low
B000146,Warinder Gala,UAE,Low
B000147,Teerth Chada,USA,Medium
B000148,Hema Dash,Singapore,Medium
B000149,Gautami Dora,USA,Medium
B000150,Zayyan Sehgal,UAE,Low
B000151,Kevin Patla,USA,High
B000152,Yachana Dua,UAE,High
B000153,Kalpit Purohit,Singapore,Low
B000154,Harish Yadav,Singapore,Low
B000155,Xavier Chokshi,India,High
B000156,Girish D’Alia,Singapore,Low
B000157,Aradhana Bora,USA,High
B000158,Krishna Sami,UK,Low
B000159,Eta Shanker,India,Medium
B000160,Sneha De,USA,Low
B000161,Jeremiah Oak,UAE,High
B000162,Max Sani,UK,High
B000163,Libni Rai,USA,Medium
B000164,Radha Lal,UK,High
B000165,Megha Balan,UK,Low
B000166,Pushti Vora,Singapore,High
B000167,Viraj Badal,Singapore,High
B000168,Umang Ramaswamy,UK,High
B000169,Shivani Verma,UK,Medium
B000170,Saanvi Wason,Singapore,High
B000171,Logan Pau,UK,High
B000172,Pranit Kohli,USA,High
B000173,Nakul Banik,India,Low
B000174,Fitan Mishra,UAE,Low
B000175,Anamika Dar,UK,Low
B000176,Mugdha Borah,UK,Low
B000177,Barkha Sekhon,Singapore,Medium
B000178,Ira Pillay,UK,High
B000179,Falak Babu,UAE,Medium
B000180,Ansh Kurian,Singapore,High
B000181,Yahvi Sathe,India,Low
B000182,Ridhi Dugal,India,Medium
B000183,Zansi Natt,UK,High
B000184,Baljiwan Bhatt,Singapore,Low
B000185,Yamini Bal,USA,Low
B000186,Shivansh Manne,UK,High
B000187,Tanmayi Sami,USA,Medium
B000188,Amruta Ben,UK,Medium
B000189,Nathan Kale,UK,Medium
B000190,Patrick Parikh,UK,Medium
B000191,Dakshesh Sarma,UK,Medium
B000192,Sara Ben,Singapore,Medium
B000193,Robert Pai,India,Low
B000194,Edhitha Kalita,UK,Low
B000195,Urishilla Dass,Singapore,High
B000196,Lopa Hegde,India,Medium
B000197,Darsh Palan,India,Medium
B000198,Harshil Gala,USA,High
B000199,Pushti Borah,USA,High
B000200,Veer Malhotra,India,Medium
B000201,Yashvi Cherian,UAE,Low
B000202,Aarnav Shan,India,Low
B000203,Ryan Arora,Singapore,Low
B000204,Theodore Datta,USA,Low
B000205,Geetika Badal,Singapore,Low
B000206,Gautam Guha,Singapore,Medium
B000207,Avni Kala,Singapore,High
B000208,Kiaan Roy,Singapore,Low
B000209,Edhitha Bumb,USA,Low
B000210,Damini Subramanian,USA,Medium
B000211,Deepa Khatri,India,Medium
B000212,Wyatt Chaudhary,Singapore,Medium
B000213,Ayaan Rai,UK,Medium
B000214,Triya Iyer,USA,High
B000215,Warhi Dewan,India,Medium
B000216,Benjamin Halder,USA,Low
B000217,Falak Nagi,UK,Low
B000218,Radhika Shukla,UAE,High
B000219,Vihaan Sachar,UAE,Medium
B000220,Isaiah Nanda,UAE,High
B000221,Jairaj Bobal,USA,High
B000222,Bimala Narayan,UK,High
B000223,Chaitaly Dhawan,UK,Medium
B000224,Peter Bhagat,India,Medium
B000225,Ijaya Khare,UAE,Medium
B000226,Zinal Wadhwa,UK,Low
B000227,Ikshita Dada,UK,Medium
B000228,Lakshmi Dua,USA,Low
B000229,Krisha Soman,Singapore,Low
B000230,Varenya Vyas,USA,Low
B000231,Damini Mohanty,Singapore,High
B000232,Manthan Manda,India,Medium
B000233,Samaksh Vaidya,Singapore,Medium
B000234,Kamala Puri,UAE,Medium
B000235,Lohit Narang,UK,High
B000236,Ekaraj Bala,UK,High
B000237,Harini Barad,USA,Medium
B000238,Umang Toor,Singapore,High
B000239,Amaira Rout,India,High
B000240,Lakshmi Mistry,India,Low
B000241,Prisha Din,UAE,Medium
B000242,Pushti Agarwal,USA,High
B000243,Naveen Bava,USA,High
B000244,Yashasvi Oommen,USA,Medium
B000245,Advaith Warrior,UK,Low
B000246,Rayaan Kar,UK,Low
B000247,Siddharth Char,USA,Medium
B000248,Harsh Konda,UAE,Medium
B000249,Bhavani Kapur,India,Medium
B000250,Frederick Upadhyay,USA,Medium
B000251,Shaurya Jha,Singapore,Low
B000252,Christopher Sharaf,UAE,Low
B000253,Nirja Bhagat,USA,Low
B000254,Pavani Brahmbhatt,India,High
B000255,Lajita Choudhry,USA,Medium
B000256,Theodore D’Alia,India,Low
B000257,Kashish Tandon,UAE,Low
B000258,Januja Subramaniam,UK,Medium
B000259,Laban Balay,UAE,Low
B000260,Orinder Vyas,Singapore,High
B000261,Dhriti Bahri,USA,Low
B000262,Vihaan Sama,UK,Low
B000263,Abdul Bhatnagar,Singapore,High
B000264,William Nadkarni,India,Low
B000265,Omisha Gulati,Singapore,Medium
B000266,Tristan Kota,UK,Low
B000267,Chandran Tella,India,Low
B000268,Ubika Tandon,USA,Medium
B000269,Balhaar Sundaram,UK,High
B000270,Sai Madan,India,Medium
B000271,Ishwar Iyer,UAE,Low
B000272,Wahab Basu,UAE,Medium
B000273,Advay Ray,UK,High
B000274,Aishani Din,UK,Low
B000275,Urishilla Chad,USA,High
B000276,Neelima Nadig,Singapore,High
B000277,Ojas Gill,UAE,High
B000278,Chaman Mukherjee,UK,Medium
B000279,Januja Sarna,UAE,Low
B000280,Jagrati Hayre,UAE,Medium
B000281,Ronith Oommen,India,Medium
B000282,Chandani Boase,USA,Low
B000283,Charan Manda,USA,Medium
B000284,Ekta Thakkar,USA,Medium
B000285,Shaurya Rau,UK,Medium
B000286,Rajeshri Saraf,USA,Low
B000287,Nathan Narayan,India,Medium
B000288,Dominic Mahal,UK,Medium
B000289,Osha Dhingra,Singapore,Medium
B000290,Urmi Borde,USA,Low
B000291,Christopher Nori,UK,Low
B000292,Owen Hayer,UAE,High
B000293,Tanvi Puri,UK,Medium
B000294,Osha Nayar,UK,High
B000295,Vedhika Kade,UAE,High
B000296,Tanay Patel,USA,Low
B000297,Tejas Karan,UK,High
B000298,Lipika Varughese,India,Low
B000299,Ekbal Suri,UAE,Medium
B000300,Ekta Rai,USA,Medium
B000301,Krisha Bawa,India,High
B000302,Anika Nadkarni,UAE,Medium
B000303,Nisha Prabhakar,UK,High
B000304,Hardik Om,India,Medium
B000305,Indira Mody,India,Low
B000306,Arin Malhotra,USA,Medium
B000307,Unni Sagar,UK,Medium
B000308,Laksh Savant,UAE,Medium
B000309,Lipika Chandra,UAE,High
B000310,Oscar Khosla,India,Medium
B000311,Hamsini Sawhney,India,Low
B000312,Urvi Borah,UK,Medium
B000313,Jeet Venkataraman,Singapore,High
B000314,Dev Ram,UK,Low
B000315,Yashvi Choudhury,UK,Low
B000316,Ayushman Yohannan,India,Medium
B000317,Thomas Balakrishnan,India,High
B000318,Pushti Varghese,UAE,Medium
B000319,Pranit D’Alia,UK,Medium
B000320,Agastya Mallick,UK,Low
B000321,Theodore Arora,India,High
B000322,Yoshita Agarwal,UAE,High
B000323,Elijah Khare,UK,Low
B000324,Gaurav Ramesh,UK,Medium
B000325,Tristan Khurana,UAE,Low
B000326,Turvi Ramanathan,India,High
B000327,Mason Baria,India,Low
B000328,Janaki Apte,Singapore,Low
B000329,Vasudha Mangal,USA,High
B000330,Varenya Zacharia,UK,Low
B000331,Neel Vaidya,India,High
B000332,Dev Pant,India,High
B000333,Isaac Badal,Singapore,Low
B000334,Niharika Choudhary,UK,Medium
B000335,Mekhala Ahuja,UAE,Low
B000336,Vansha Rao,India,High
B000337,Advaith Khare,USA,Low
B000338,Neel Kothari,UK,High
B000339,Jeevika Patel,India,High
B000340,Darika Hayre,USA,High
B000341,Liam Gaba,India,Medium
B000342,Nikita Narayanan,Singapore,Medium
B000343,Avi Iyer,India,High
B000344,Ridhi Venkatesh,India,Low
B000345,Ekapad Savant,UK,Low
B000346,Nathan Sane,UAE,Medium
B000347,Tanish Gill,UAE,Low
B000348,Vyanjana Hans,India,Low
B000349,Darika Bassi,UK,Low
B000350,Yagnesh Sura,India,Medium
B000351,Balveer Chaudhuri,UAE,High
B000352,Charita Nayak,India,Low
B000353,Samarth Muni,India,High
B000354,Samuel Rai,UAE,High
B000355,Nakul Deshpande,UAE,Low
B000356,Arin Iyer,UK,High
B000357,Watika Seth,India,Medium
B000358,Gaurav Sibal,Singapore,High
B000359,Indrajit Chad,UAE,High
B000360,Reva Nigam,UAE,High
B000361,Ayaan Venkataraman,UK,Medium
B000362,Sudiksha Chaudhuri,India,Low
B000363,Upadhriti Prashad,UAE,Low
B000364,Logan Yadav,Singapore,Medium
B000365,Devika Agrawal,UAE,Low
B000366,Charan Saha,UK,High
B000367,Nachiket Padmanabhan,Singapore,Low
B000368,Qasim Bedi,UK,Low
B000369,Charan Khanna,UK,Low
B000370,Aditya Sibal,India,High
B000371,Balhaar Parsa,Singapore,High
B000372,Nidhi Pathak,USA,Medium
B000373,Waida Biswas,India,Low
B000374,Victor Choudhry,UAE,Medium
B000375,Aadhya Oak,Singapore,High
B000376,Jason Srinivasan,UK,Low
B000377,Hemani Mallick,USA,High
B000378,Jeremiah Bansal,UAE,Medium
B000379,Aditya Rao,India,High
B000380,Tarak Deshmukh,Singapore,High
B000381,Qasim Basak,UK,High
B000382,Nakul Rattan,UAE,Medium
B000383,Chanakya Mangat,UAE,High
B000384,Brinda Purohit,Singapore,High
B000385,Waida Bains,UK,Low
B000386,Ishanvi Ramesh,Singapore,Low
B000387,Forum Sant,USA,High
B000388,Anusha Ramaswamy,UK,Medium
B000389,Aahana Dugal,USA,High
B000390,Yatin Sant,UAE,High
B000391,Timothy Misra,USA,High
B000392,Akshay Ratti,India,Low
B000393,Frado Reddy,India,High
B000394,Mahika Upadhyay,India,Medium
B000395,Jalsa Ravi,UAE,High
B000396,Ekalinga Prabhakar,UK,Low
B000397,Falak Pal,USA,Low
B000398,Divya Cherian,India,Low
B000399,Gopal Ravi,Singapore,Medium
B000400,Damyanti Vyas,Singapore,Low
B000401,Oeshi Dubey,UAE,Medium
B000402,Chandresh Nayar,UAE,High
B000403,Charita Krishnan,India,Low
B000404,Ekapad Dhingra,USA,Medium
B000405,Lohit Buch,Singapore,Low
B000406,Varenya Choudhary,Singapore,Medium
B000407,Aarnav Ganesan,India,High
B000408,Orinder Suresh,UK,High
B000409,Harshil Mangal,Singapore,Low
B000410,Girish Bhalla,UAE,High
B000411,Avi Nagy,Singapore,Medium
B000412,Chakrika Bandi,UAE,Low
B000413,Lila Choudhary,USA,Low
B000414,Riya Shan,UAE,High
B000415,Varsha Randhawa,UAE,High
B000416,Ekaraj Soni,UK,High
B000417,Ekbal Jhaveri,Singapore,Low
B000418,Teerth Cheema,UK,High
B000419,Ayush Dhawan,India,Low
B000420,Siya Manne,UK,Low
B000421,Zansi Bobal,UAE,Low
B000422,Unni Sridhar,UAE,Low
B000423,Jonathan Varughese,UAE,Low
B000424,Aadhya Radhakrishnan,UAE,High
B000425,Divya Mody,USA,Low
B000426,Omaja Konda,UAE,High
B000427,Jeevika Hayre,India,Medium
B000428,Ishaan Vohra,UK,Medium
B000429,Janani Dugar,UAE,High
B000430,Arjun Mody,UAE,Low
B000431,Nathan Dhawan,UK,Low
B000432,Darsh Raman,USA,Low
B000433,Indali Saxena,Singapore,Medium
B000434,Farhan Ghosh,USA,Medium
B000435,Xavier Kumer,UAE,Medium
B000436,Faqid Om,UK,Low
B000437,Dev Randhawa,Singapore,Medium
B000438,Elijah Deep,UK,Low
B000439,Indali Tripathi,UK,Medium
B000440,Ishaan Kannan,UK,High
B000441,Om Pradhan,USA,High
B000442,Tara Barad,UK,Low
B000443,Vasana Hari,UK,Low
B000444,Girik Setty,UK,Medium
B000445,Daksh Basu,India,Medium
B000446,Wridesh Chad,USA,High
B000447,Rachita Lalla,UAE,High
B000448,Ojas Pau,UAE,Medium
B000449,Rachit Rege,UK,Medium
B000450,Vamakshi Ramakrishnan,Singapore,Medium
B000451,Vritti Brar,Singapore,Medium
B000452,Libni Pingle,USA,High
B000453,Meera Chatterjee,UK,Low
B000454,Vritti Sama,Singapore,Low
B000455,Anya Rajagopalan,UK,Low
B000456,Fiyaz Sarna,UAE,Low
B000457,Unni Dube,India,Low
B000458,Sneha Shah,USA,High
B000459,Keya Chokshi,Singapore,Medium
B000460,Samuel Sanghvi,UK,Medium
B000461,Janaki Gara,UK,High
B000462,Krisha Devi,Singapore,Medium
B000463,Ubika Kothari,UK,Medium
B000464,Vidhi Patla,USA,Low
B000465,Nisha Doshi,UK,Low
B000466,Lakshit Ganesh,India,Medium
B000467,Daksha Salvi,USA,Low
B000468,Tanish Goel,UAE,Medium
B000469,Vivaan Shenoy,Singapore,High
B000470,Ria Mohan,Singapore,High
B000471,Chandani Konda,UK,High
B000472,Rajata Mallick,Singapore,High
B000473,Zilmil D’Alia,India,High
B000474,Triveni Sridhar,UK,Medium
B000475,Kala Joshi,UAE,Low
B000476,Nikita Rege,UK,Low
B000477,Tanvi Contractor,Singapore,High
B000478,Nilima Shere,India,High
B000479,Saksham Sundaram,UAE,Medium
B000480,Warhi Borah,USA,Medium
B000481,Amol Gupta,UAE,Medium
B000482,Kamya Bahri,UAE,High
B000483,Ijaya Kibe,USA,High
B000484,Urvashi Nair,UAE,Low
B000485,Shravya More,India,Low
B000486,Ekansh Nagy,UK,Medium
B000487,Peter Datta,USA,Low
B000488,Ikshita Andra,USA,Low
B000489,Vedhika Bhat,UK,Low
B000490,Yashodhara Hora,UK,Medium
B000491,Gagan Chauhan,Singapore,High
B000492,Samaksh Gola,USA,High
B000493,Praneel Tella,UK,High
B000494,Utkarsh Peri,Singapore,High
B000495,Ekiya Sachdeva,UK,High
B000496,Ira Sankaran,India,Low
B000497,Hritik Zacharia,USA,Medium
B000498,Lucky Grover,UAE,Medium
B000499,Yochana Mody,UAE,High
B000500,Hamsini Kata,UK,High
B000501,Bhavya Narasimhan,Singapore,Low
B000502,Ekiya Issac,UAE,Medium
B000503,Ekaraj Deshmukh,India,Low
B000504,Lohit Devi,India,High
B000505,Teerth Mani,UK,High
B000506,Avi Brahmbhatt,UK,High
B000507,Liam Saha,Singapore,High
B000508,George Gulati,UK,Low
B000509,Finn Sridhar,UAE,Medium
B000510,Kabir Bhakta,UAE,High
B000511,Omaja Bera,UAE,Low
B000512,Finn Singh,UK,Low
B000513,Raghav Rai,USA,Low
B000514,Anusha Varghese,UK,High
B000515,Shivansh Tella,UAE,Low
B000516,Theodore Pingle,UAE,Low
B000517,Abhimanyu Bains,UAE,Low
B000518,Edhitha Khanna,Singapore,Medium
B000519,Aadi Deshpande,UK,High
B000520,Utkarsh Deo,USA,Low
B000521,Lila Om,UAE,Low
B000522,Jeet Venkatesh,Singapore,Low
B000523,Timothy Bedi,UK,Low
B000524,Mason Bal,Singapore,Low
B000525,Luke Mahajan,Singapore,Low
B000526,Varsha Wali,USA,Low
B000527,Xiti Bose,UK,Medium
B000528,Aishani Tiwari,India,Low
B000529,Ojasvi Babu,India,Medium
B000530,Indrajit Oza,India,High
B000531,Ekani Hari,USA,Low
B000532,Dominic Brahmbhatt,India,Low
B000533,Aadi Gour,USA,Low
B000534,Zarna Dass,UK,High
B000535,Zaid Khare,USA,Medium
B000536,Zayyan Sengupta,UK,Medium
B000537,Eiravati Batta,Singapore,High
B000538,Mahika Saini,UK,Medium
B000539,Samarth Srinivas,Singapore,High
B000540,Krisha Kohli,Singapore,Medium
B000541,Chaaya Mangal,UAE,Medium
B000542,Widisha Din,UK,Medium
B000543,Riya Luthra,USA,Low
B000544,Veda Basu,Singapore,Medium
B000545,Balvan Dutt,India,Low
B000546,Nihal Chaudhari,UK,High
B000547,Oscar Sachdeva,UK,High
B000548,David Kala,UAE,Low
B000549,Gagan Kalla,USA,Low
B000550,Megha Sharaf,USA,Medium
B000551,Baljiwan Tailor,UAE,Medium
B000552,Mohini Ravel,UK,High
B000553,Aarush Chaudry,UK,High
B000554,Ryan Badami,UK,High
B000555,Ojas Krishna,UAE,Low
B000556,Ethan Ram,Singapore,Low
B000557,Zashil Ganguly,Singapore,Low
B000558,Jairaj Tailor,Singapore,High
B000559,Damyanti Parekh,UK,Low
B000560,Triya Sanghvi,USA,Medium
B000561,Umang Mand,UK,High
B000562,Yashodhara Bains,USA,Low
B000563,Advik Merchant,Singapore,Medium
B000564,Mitesh Bhasin,UK,High
B000565,Bachittar Bahri,India,High
B000566,Triveni Sarma,UK,Medium
B000567,Girik Srinivasan,USA,Low
B000568,Isha Suresh,UAE,High
B000569,Raksha Kakar,USA,High
B000570,Charvi Sidhu,USA,Low
B000571,Ekta Sengupta,UAE,Medium
B000572,Fariq More,India,Medium
B000573,Yash Kara,USA,Medium
B000574,Oviya Ramaswamy,UAE,Medium
B000575,Maanas Bansal,India,Medium
B000576,Shravya Sinha,USA,Low
B000577,Aarush Sanghvi,UAE,Low
B000578,Nikita Mittal,UAE,High
B000579,Anya Gara,India,Low
B000580,Barkha Dixit,UK,High
B000581,Dipta Rau,India,Low
B000582,Zaid Doctor,Singapore,Medium
B000583,Aarav Kibe,Singapore,Low
B000584,Yutika Bawa,Singapore,High
B000585,Henry Nadig,UK,High
B000586,Agastya Keer,India,High
B000587,Ronith Golla,UAE,High
B000588,Warjas Jaggi,UK,Low
B000589,Abeer Rai,Singapore,Low
B000590,Anthony Puri,USA,High
B000591,Oni Ramakrishnan,India,High
B000592,Dalbir Devi,Singapore,Medium
B000593,Yauvani Dara,UK,High
B000594,Panini Gola,USA,Medium
B000595,Akshay Sibal,UAE,Low
B000596,Nitesh Ghose,Singapore,Low
B000597,Adya Chaudhuri,Singapore,Low
B000598,Amruta Ghosh,India,Low
B000599,Adweta Karan,Singapore,High
B000600,Harshil Agarwal,USA,Low
B000601,Wyatt Murty,India,High
B000602,Wishi Venkataraman,Singapore,Low
B000603,Anmol Baria,Singapore,Medium
B000604,Isaiah Srinivasan,USA,High
B000605,Aishani Bera,India,Medium
B000606,Nilima Bakshi,India,High
B000607,Lekha Khurana,USA,Low
B000608,Jackson Devi,UK,Medium
B000609,Kashvi Sabharwal,Singapore,Medium
B000610,Lekha Jaggi,UAE,High
B000611,Henry Bedi,USA,High
B000612,Shivani Bala,UAE,Low
B000613,Zehaan Srinivas,UK,Low
B000614,Anita Gaba,USA,Medium
B000615,Bhavya Char,Singapore,Low
B000616,Farhan Seshadri,Singapore,Low
B000617,Advaith Garde,UK,High
B000618,Abha Bala,UK,Low
B000619,Adya Dugar,USA,Medium
B000620,Nakul Narang,UAE,High
B000621,Januja Sharma,India,High
B000622,Ijaya Magar,Singapore,Medium
B000623,Reyansh Golla,USA,High
B000624,Raghav Kaul,India,Medium
B000625,Sarthak Edwin,USA,Medium
B000626,Tripti Bumb,UAE,Medium
B000627,Saanvi Toor,Singapore,High
B000628,Manbir Sidhu,UK,Low
B000629,Ekavir Rao,Singapore,Low
B000630,Xalak Kamdar,UAE,High
B000631,Amrita Vyas,UAE,High
B000632,George Bajaj,India,Low
B000633,Arjun Memon,UK,High
B000634,Nisha Agrawal,UK,Medium
B000635,Ekaraj Patil,UAE,Low
B000636,Nandini Muni,USA,Medium
B000637,Nitesh Modi,Singapore,Medium
B000638,Gaurika Nagi,UK,Medium
B000639,Sachi Ramachandran,UK,Medium
B000640,Eta Dhingra,India,High
B000641,Ranveer Kar,Singapore,Medium
B000642,Divya Radhakrishnan,UAE,High
B000643,Naksh Chander,USA,Medium
B000644,Jagvi Goyal,India,Low
B000645,Hemal Dugal,Singapore,High
B000646,Daksha Karnik,India,High
B000647,Ikshita Rout,Singapore,Medium
B000648,Charita Lall,UAE,High
B000649,Lakshmi Parekh,UAE,Medium
B000650,Yoshita Deshpande,UK,Medium
B000651,Daksha Butala,UAE,Low
B000652,Devika Balan,UAE,High
B000653,Krishna Agate,UAE,High
B000654,Jeet Bajwa,India,Medium
B000655,Rajata Divan,USA,Low
B000656,Dhruv Banerjee,UAE,Medium
B000657,Bimala Kohli,UK,High
B000658,Harish Chakraborty,UAE,Low
B000659,Ekalinga Balan,India,Medium
B000660,Madhavi Bhardwaj,UK,Low
B000661,Yashica Bhatnagar,India,Low
B000662,Ganga Bhandari,USA,High
B000663,Idika Pandya,Singapore,High
B000664,Vidhi Tara,UK,Low
B000665,Azaan Kumar,UK,Low
B000666,Kalpit Walia,India,Low
B000667,Vedhika Rau,UAE,Medium
B000668,Hritik Tak,UK,Medium
B000669,Ganga Goswami,USA,Low
B000670,Henry Mutti,UK,High
B000671,Wyatt Ratti,India,Medium
B000672,Zayyan Patel,UK,Medium
B000673,Ojas Thakkar,UK,Medium
B000674,Idika Sundaram,India,Low
B000675,Forum Ravel,India,Low
B000676,Reva Gole,India,Medium
B000677,Aadhya Baral,USA,Low
B000678,Saksham Rout,India,High
B000679,Shivansh Varkey,USA,High
B000680,Yashawini Srinivasan,UK,Medium
B000681,Theodore Saran,India,High
B000682,Hredhaan Nadkarni,UAE,Medium
B000683,Bhavika Wadhwa,UK,High
B000684,Kiaan Tata,UK,Medium
B000685,Ansh Modi,USA,Low
B000686,Gavin Thakur,India,Medium
B000687,Chakrika Kala,India,High
B000688,Sai Pall,USA,Low
B000689,Amaira Bhandari,UK,High
B000690,Frado Yadav,India,Medium
B000691,Avi Oak,USA,High
B000692,Dalbir Srinivasan,USA,Medium
B000693,Kamala Seth,India,High
B000694,Jagrati Kaur,USA,High
B000695,Zayan Bera,India,Low
B000696,Naveen Misra,India,Low
B000697,Dev Dugar,USA,High
B000698,Yagnesh Ramesh,UAE,Low
B000699,Raghav Aurora,USA,Medium
B000700,Bhavini Walla,Singapore,Low
B000701,Nirja Baria,India,Low
B000702,Ekaraj Ramesh,USA,Low
B000703,Bimala Mani,UAE,Low
B000704,Ansh Kannan,USA,Medium
B000705,Shivani Chander,India,Low
B000706,Tara Sarma,India,High
B000707,Ekiya Gala,Singapore,Medium
B000708,Vidhi Pau,USA,Low
B000709,Praneel Basak,UK,High
B000710,Neelima Sarraf,India,Low
B000711,Harinakshi Warrior,Singapore,Low
B000712,Joshua Mittal,USA,Medium
B000713,Kamya Mall,USA,Medium
B000714,Isaac Lad,UAE,High
B000715,Siya Munshi,UK,High
B000716,Harish Bandi,Singapore,High
B000717,Aditya Shankar,Singapore,High
B000718,Krishna Buch,USA,High
B000719,Pallavi Date,UAE,High
B000720,Oliver Parsa,India,High
